name,assists,bonus,bps,clean_sheets,creativity,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,start_cost,threat,total_points,yellow_cards,cost_18_19,improve
Aaron_Cresswell_376,7,10,613,10,562.7,49,60,1,145.0,690.2,3069,0,0,0,0,0,50,193.0,118,7,55,0
Aaron_Lennon_430,4,0,204,6,203.2,54,30,0,73.3,232.2,1906,0,0,0,0,0,55,297.0,65,2,50,0
Aaron_Mooy_516,3,8,576,10,848.8,52,52,4,195.2,753.2,3066,0,0,0,0,0,55,350.0,113,4,55,0
Aaron_Wan-Bissaka_122,0,0,116,2,60.0,45,10,0,26.8,207.2,627,0,0,0,0,0,45,2.0,15,1,40,1
Abdoulaye_Doucouré_368,4,16,679,9,595.8,52,63,7,199.7,859.0,3324,0,0,0,0,0,50,537.0,136,10,60,0
Adam_Smith_63,3,3,376,2,345.5,48,38,1,94.5,455.0,2067,0,0,0,0,0,50,144.0,56,6,45,1
Adrian_Mariappa_356,0,2,378,6,59.4,41,43,0,62.8,462.0,2206,0,0,0,0,0,40,106.0,58,4,45,0
Ainsley_Maitland-Niles_4,0,0,160,3,141.3,45,16,0,37.8,168.4,908,0,0,0,0,0,45,67.0,25,1,45,1
Alexandre_Lacazette_12,5,11,543,10,566.0,103,28,14,258.0,725.6,2197,0,0,0,0,0,105,1291.0,138,1,95,1
Alexis_Sánchez_240,10,13,515,11,1155.2,114,32,9,326.1,823.2,2546,0,1,0,0,0,120,1281.0,152,5,105,0
Alex_Iwobi_17,5,2,426,9,592.9,51,26,3,165.6,430.0,1827,0,0,0,0,0,55,635.0,89,1,55,1
Alex_McCarthy_318,0,3,278,4,0.0,44,26,0,28.1,280.8,1620,0,0,0,0,42,45,0.0,52,2,45,1
Andrew_Robertson_181,5,12,514,10,414.5,50,18,1,101.3,424.0,1940,0,0,0,0,0,50,174.0,111,2,60,1
Andrew_Surman_80,5,9,363,5,261.1,43,29,2,84.0,458.0,1851,0,0,0,0,0,45,121.0,82,2,50,0
Andre_Gray_364,3,4,237,5,254.0,63,30,5,108.2,251.2,1486,0,0,0,0,0,65,594.0,79,1,60,1
Andros_Townsend_135,9,7,552,9,1012.1,56,48,2,222.8,626.0,3120,0,0,0,0,0,60,587.0,121,3,60,1
Angelo_Ogbonna_377,0,4,520,7,81.4,42,60,1,91.4,687.8,2880,0,0,0,0,0,45,145.0,77,3,45,0
Anthony_Knockaert_52,1,6,383,11,557.2,55,29,3,149.1,404.0,2415,0,0,0,1,0,60,530.0,88,4,55,0
Anthony_Martial_239,6,7,403,9,509.3,78,13,9,179.5,535.4,1572,0,0,0,0,0,80,748.0,125,1,75,0
Antonio_Rüdiger_104,1,8,557,12,83.0,58,22,2,84.8,546.6,2336,0,0,0,0,0,60,217.0,115,4,60,1
Arthur_Masuaku_378,3,2,352,6,295.1,42,29,0,80.7,385.0,1867,0,0,0,0,0,45,128.0,68,5,45,0
Ashley_Barnes_90,0,9,290,5,274.8,53,23,9,145.8,407.2,2150,0,0,0,0,0,55,797.0,92,10,60,1
Ashley_Westwood_101,1,1,189,2,134.8,43,17,0,40.7,182.4,1105,0,0,0,0,0,45,90.0,35,2,45,1
Ashley_Young_224,6,11,479,9,502.3,48,26,2,131.6,601.2,2444,0,0,0,0,0,50,213.0,98,7,60,0
Asmir_Begovic_72,0,6,631,6,20.0,45,61,0,80.8,790.8,3420,0,0,1,0,111,45,0.0,112,2,45,0
Aymeric_Laporte_202,0,2,204,4,52.8,51,5,0,25.4,165.8,806,0,0,0,0,0,55,34.0,35,1,55,1
Ayoze_Pérez_265,6,15,420,8,539.0,55,28,8,191.7,571.8,2486,1,0,0,0,0,55,809.0,124,3,65,1
Bamidele_Alli_344,13,12,565,16,878.5,90,28,9,258.8,775.2,2957,0,0,0,0,0,95,934.0,175,7,90,0
Benjamin_Chilwell_161,2,4,381,6,332.1,44,30,0,78.0,382.8,1848,0,0,0,1,0,45,63.0,65,1,50,1
Ben_Davies_329,7,14,615,12,698.8,58,20,2,151.0,610.0,2323,0,0,0,0,0,55,201.0,143,3,60,0
Ben_Foster_366,0,11,635,10,20.0,43,55,0,73.8,716.8,3330,0,0,0,0,99,45,0.0,123,2,45,1
Ben_Mee_83,0,6,491,9,74.5,49,27,0,117.3,748.6,2610,0,0,0,0,0,45,349.0,90,5,50,0
Beram_Kayal_56,0,0,115,1,137.0,44,14,0,29.6,111.2,735,0,0,0,0,0,45,48.0,25,2,45,1
Bernardo Mota_Veiga de Carvalho e Silva_218,5,8,440,9,508.7,72,10,6,144.4,475.6,1514,0,0,0,0,0,80,464.0,112,0,75,1
Callum_Wilson_67,2,13,282,6,288.4,56,33,8,147.5,392.2,1981,0,0,0,0,0,60,799.0,102,0,60,1
Calum_Chambers_467,0,0,171,2,40.0,47,14,0,40.2,227.8,864,0,0,0,0,0,50,134.0,23,1,45,1
Cenk_Tosun_146,0,9,192,4,226.4,67,13,5,75.6,232.4,984,0,0,0,0,0,75,304.0,55,0,70,1
Charlie_Austin_312,1,9,215,4,89.4,58,15,7,107.7,302.8,1024,0,0,0,0,0,65,689.0,72,2,60,0
Charlie_Daniels_60,3,4,587,6,479.7,47,50,1,125.9,582.2,3001,0,0,0,0,0,50,196.0,94,0,45,0
Charlie_Taylor_87,0,0,132,2,86.8,42,12,0,27.5,184.2,949,0,0,0,0,0,45,4.0,23,3,45,1
Cheikhou_Kouyaté_139,3,2,367,7,262.4,50,56,2,106.1,480.0,2798,0,0,0,0,0,50,320.0,86,5,50,0
Christian_Atsu_267,4,5,236,6,340.6,48,22,2,112.9,308.8,1776,0,0,0,0,0,50,480.0,78,1,55,0
Christian_Benteke_129,7,5,174,6,406.7,75,36,3,157.5,325.2,2234,0,1,0,0,0,80,845.0,84,6,65,0
Christian_Eriksen_343,10,23,826,17,1487.0,97,33,11,358.2,1072.6,3218,0,0,0,0,0,95,1021.0,199,0,95,0
Christian_Kabasele_354,0,2,407,6,52.0,44,43,2,83.7,645.0,2329,1,0,0,0,0,45,137.0,68,5,45,0
Chris_Smalling_223,0,9,590,11,35.3,57,24,4,101.2,743.8,2535,0,0,0,0,0,55,230.0,123,4,60,0
Chris_Wood_91,1,20,314,10,203.5,62,11,10,133.8,442.0,1621,0,0,0,0,0,65,692.0,104,1,65,1
Ciaran_Clark_259,1,6,317,4,50.8,43,30,2,67.5,433.6,1745,0,0,0,0,0,45,190.0,64,3,45,0
Cédric_Soares_486,3,2,481,7,455.6,47,44,0,112.3,507.0,2794,0,0,0,0,0,50,159.0,85,3,45,0
César_Azpilicueta_105,6,25,913,15,535.7,69,38,2,167.5,967.4,3330,1,0,0,0,0,65,168.0,175,1,65,0
Dale_Stephens_57,3,2,550,10,272.5,45,50,0,107.7,625.8,3240,0,0,0,0,0,45,176.0,87,6,45,0
Danilo Luiz_da Silva_209,2,8,398,9,158.1,50,11,3,71.1,376.0,1340,0,0,0,0,0,55,176.0,100,2,55,0
Danny_Rose_332,2,0,136,2,181.6,64,14,0,45.9,159.4,800,0,0,0,0,0,65,117.0,24,4,60,1
Dan_Gosling_81,1,4,254,1,262.2,48,41,2,93.3,396.4,1941,0,0,0,0,0,50,274.0,59,8,50,0
Daryl_Janmaat_359,1,3,342,2,230.6,48,37,3,92.9,445.0,1818,0,0,0,0,0,50,253.0,59,3,50,0
David_de Gea_235,0,10,757,18,10.0,59,28,0,83.4,821.2,3330,0,0,0,0,115,55,0.0,172,0,60,0
David_Luiz Moreira Marinho_106,2,0,186,3,22.3,57,13,1,29.6,210.2,838,0,0,0,1,0,60,65.0,32,3,55,1
David_Silva_219,11,26,671,14,1118.5,82,18,9,286.5,875.8,2431,0,0,0,0,0,80,867.0,169,5,85,0
Davinson_Sánchez_333,0,8,597,13,74.8,60,21,0,76.2,598.0,2532,1,0,0,1,0,60,89.0,107,1,60,0
Davy_Pröpper_54,4,1,446,9,297.1,53,50,0,108.9,535.8,3118,0,0,0,1,0,55,255.0,87,2,50,0
DeAndre_Yedlin_253,2,5,467,7,340.7,45,37,0,90.0,494.4,2842,1,0,0,0,0,45,63.0,88,5,45,0
Declan_Rice_395,0,0,280,3,35.7,44,29,0,37.5,310.4,1421,0,0,0,0,0,45,29.0,41,1,45,1
Dejan_Lovren_186,1,10,539,11,104.5,53,24,2,100.2,656.4,2124,0,0,0,0,0,55,242.0,110,4,50,0
Demarai_Gray_175,3,2,308,4,412.8,53,35,3,116.7,290.6,1683,0,0,0,0,0,55,461.0,80,2,55,1
Dominic_Calvert-Lewin_147,8,3,255,6,322.6,49,28,4,130.2,354.0,1871,0,0,0,0,0,50,630.0,88,4,55,1
Ederson_Santana de Moraes_212,0,10,666,16,10.0,57,26,0,55.6,546.2,3195,0,0,2,0,58,55,0.0,158,1,55,1
Eric_Dier_350,2,2,477,15,293.4,47,30,0,118.6,604.2,2822,0,0,0,0,0,50,289.0,85,4,50,0
Erik_Lamela_346,4,1,186,4,283.1,63,12,2,84.7,204.8,826,0,0,0,0,0,65,364.0,55,4,65,1
Etienne_Capoue_373,1,0,262,4,165.9,48,29,1,59.7,280.2,1537,0,0,0,0,0,55,150.0,48,3,50,1
Fabian_Delph_205,2,0,398,6,263.7,45,17,1,69.4,369.2,1740,0,0,0,0,0,45,62.0,55,2,55,0
Federico_Fernández_254,1,10,500,7,75.4,45,44,1,100.0,736.0,2676,1,0,0,0,0,45,187.0,85,5,45,0
Fernando_Luiz Rosa_221,4,9,596,15,511.9,50,24,5,172.4,800.2,2880,0,0,0,0,0,50,411.0,120,7,55,0
Florian_Lejeune_257,2,6,406,5,92.3,43,32,0,78.9,557.0,2103,0,0,0,0,0,45,139.0,66,3,45,0
Francisco_Femenía Far_357,1,9,389,5,302.8,43,34,1,74.5,327.2,1709,0,0,0,0,0,45,113.0,65,2,45,1
Gabriel Fernando_de Jesus_211,7,18,473,9,360.3,104,12,13,204.9,603.6,1660,0,2,0,0,0,105,1089.0,126,6,105,0
Gaëtan_Bong_41,0,5,369,6,154.6,44,36,0,52.1,346.2,2237,1,0,0,0,0,45,18.0,63,2,45,0
Georginio_Wijnaldum_199,2,1,406,15,356.2,66,23,1,109.9,341.8,2381,0,0,0,0,0,70,399.0,85,1,55,1
Glenn_Murray_44,0,16,319,8,271.8,59,36,12,153.1,492.4,2184,0,2,0,0,0,60,779.0,111,9,65,1
Granit_Xhaka_18,8,3,593,12,822.8,51,50,1,195.3,753.4,3259,0,0,0,0,0,55,378.0,109,10,55,0
Gylfi_Sigurdsson_151,4,8,396,6,614.9,80,40,4,154.0,485.6,2257,0,0,0,0,0,85,437.0,96,2,75,1
Harry_Kane_338,2,31,781,15,502.1,131,34,29,407.4,1214.4,3074,0,1,0,0,0,125,2355.0,217,5,125,0
Harry_Maguire_160,4,10,716,9,254.3,55,60,2,168.8,955.8,3420,0,0,0,0,0,50,478.0,117,7,55,0
Harry_Winks_347,1,0,167,4,172.2,48,9,0,33.1,144.4,768,0,0,0,0,0,50,14.0,31,0,55,1
Henrikh_Mkhitaryan_16,9,9,411,12,727.8,77,17,3,163.8,506.8,1712,0,0,0,0,0,80,400.0,107,2,70,0
Heung-Min_Son_342,8,16,544,14,588.2,83,18,12,249.1,725.8,2292,0,0,0,0,0,80,1177.0,178,0,85,0
Hugo_Lloris_340,0,6,694,15,0.1,55,35,0,72.3,726.4,3240,0,0,0,0,87,55,0.0,144,1,55,1
Héctor_Bellerín_2,4,11,656,12,561.0,59,44,2,160.1,554.0,3050,0,0,0,0,0,60,484.0,132,5,55,0
Idrissa_Gueye_156,2,7,552,9,303.6,48,45,2,104.6,577.0,2749,0,0,0,1,0,50,166.0,87,6,50,0
Ilkay_Gündogan_222,2,9,376,6,406.4,54,15,4,119.3,381.4,1504,0,0,0,0,0,55,408.0,82,3,55,1
Isaac_Hayden_271,0,0,171,3,164.7,43,25,1,58.2,273.6,1365,0,0,0,0,0,45,144.0,41,7,45,1
Jack_Cork_102,1,6,533,12,332.8,45,39,2,119.0,589.6,3420,0,0,0,0,0,45,265.0,100,7,50,0
Jack_Stephens_308,0,2,360,5,68.3,45,33,2,79.9,506.6,1980,0,0,0,1,0,50,224.0,58,6,45,0
Jamaal_Lascelles_258,0,9,567,9,77.2,49,31,3,111.5,800.0,2927,0,0,0,0,0,45,234.0,116,5,50,0
James_McArthur_138,2,9,416,7,333.0,44,35,5,138.9,490.6,2425,0,0,0,0,0,45,566.0,101,5,50,1
James_Milner_200,3,4,459,6,615.5,60,25,0,132.5,437.2,1759,0,0,0,0,0,65,272.0,77,3,55,1
James_Tarkowski_84,1,4,539,11,98.4,46,30,0,117.8,822.0,2790,0,0,0,0,0,45,253.0,101,5,50,0
James_Tomkins_124,0,9,512,9,22.4,44,32,3,104.7,712.6,2386,0,0,0,0,0,45,309.0,99,8,45,0
James_Ward-Prowse_321,5,8,367,2,613.9,49,29,3,127.1,363.4,1708,0,0,0,0,0,55,296.0,84,3,55,1
Jamie_Vardy_166,2,28,674,8,439.9,88,57,20,248.6,822.8,3248,0,1,0,0,0,85,1222.0,183,3,90,0
Jan_Vertonghen_330,1,13,778,16,205.7,61,31,0,122.7,774.4,3203,0,0,0,0,0,60,243.0,138,4,60,0
Javier_Hernández Balcázar_386,2,14,309,6,312.4,67,36,8,115.0,373.6,1537,0,0,0,0,0,70,476.0,93,3,65,0
Javier_Manquillo_256,1,1,247,4,164.8,42,31,0,45.9,266.0,1757,0,0,0,0,0,45,26.0,49,2,45,1
Jeffrey_Schlupp_137,2,0,281,3,189.7,47,30,0,68.6,339.6,1742,0,0,0,0,0,50,155.0,50,3,45,1
Jeff_Hendrick_100,2,1,307,9,408.2,54,28,2,100.9,265.6,2326,0,0,0,0,0,55,335.0,85,1,55,0
Jesse_Lingard_241,6,10,450,9,519.1,60,18,8,175.3,526.6,1807,0,0,0,0,0,60,711.0,128,2,70,0
Joel_Matip_185,0,3,470,9,96.1,54,27,1,78.1,544.8,1995,0,0,0,0,0,55,140.0,81,3,50,1
Joe_Hart_95,1,3,341,4,20.0,42,39,0,40.2,382.8,1710,0,0,1,0,54,45,0.0,59,0,45,1
Johann Berg_Gudmundsson_96,9,7,467,10,1052.0,50,33,2,219.2,599.0,2831,0,0,0,0,0,50,539.0,117,2,60,0
John_Stones_207,0,5,334,9,26.3,53,11,0,43.2,283.4,1301,0,0,0,0,0,55,120.0,70,0,55,1
Jonas_Lössl_479,1,11,701,10,30.0,46,58,0,87.8,846.8,3420,1,0,2,0,103,45,0.0,135,1,45,0
Jonjo_Shelvey_269,4,4,360,6,639.9,52,30,1,132.3,442.6,2264,0,0,0,2,0,55,243.0,73,2,55,0
Jonny_Evans_162,2,5,455,6,104.2,49,38,2,85.1,536.2,2269,1,0,0,0,0,50,211.0,78,7,50,0
Jordan_Ayew_468,2,12,382,7,350.4,54,49,7,185.8,562.2,2850,0,0,0,1,0,50,944.0,108,2,60,0
Jordan_Henderson_198,1,3,382,14,448.8,53,21,1,97.8,417.0,2169,0,0,0,0,0,55,110.0,75,1,55,1
Jordan_Pickford_148,0,16,724,10,30.1,49,58,0,90.7,873.6,3420,0,0,1,0,121,50,4.0,145,0,50,1
Jordon_Ibe_78,6,5,289,4,602.7,46,33,2,157.3,362.0,1988,0,0,0,0,0,50,610.0,85,1,55,0
Jose Luis_Mato Sanmartín_261,1,5,227,5,254.8,55,25,4,106.5,291.2,1703,0,1,0,0,0,55,526.0,69,2,50,0
Joseph_Gomez_184,2,9,480,9,285.6,45,22,0,76.9,437.4,1901,0,0,0,0,0,45,46.0,86,3,50,0
Joshua_King_68,4,10,381,7,556.7,70,38,8,203.7,577.0,2450,0,0,0,0,0,75,902.0,110,3,65,1
José Heriberto_Izquierdo Mena_51,5,4,324,5,311.3,59,32,5,131.3,385.4,1976,0,0,0,0,0,60,618.0,101,2,60,0
José_Holebas_353,4,6,412,6,632.8,48,47,0,127.0,510.0,2381,0,0,0,0,0,50,125.0,72,7,45,1
Juan_Mata_242,5,6,418,15,849.9,68,10,3,172.1,422.8,1919,0,0,0,0,0,70,453.0,100,1,65,0
Junior_Stanislas_77,3,7,285,2,377.2,57,22,5,125.1,394.8,1285,0,0,0,0,0,60,483.0,75,1,60,0
Kasper_Schmeichel_168,0,17,592,8,11.1,51,47,0,69.9,687.2,2965,1,0,2,0,93,50,0.0,123,3,50,0
Kelechi_Iheanacho_167,4,5,171,1,185.6,65,17,3,74.5,214.2,818,0,0,0,0,0,70,350.0,54,2,60,1
Kevin_De Bruyne_215,18,25,872,19,1744.2,103,22,8,368.9,1146.6,3073,0,0,0,0,0,100,797.0,209,2,100,0
Kieran_Trippier_334,7,18,539,9,617.5,52,21,0,115.6,459.0,1912,0,0,0,0,0,55,78.0,113,1,60,1
Kurt_Zouma_459,0,5,554,7,91.8,54,50,1,114.4,814.2,2887,0,0,0,0,0,55,235.0,87,1,50,1
Kyle_Walker_203,6,8,691,15,511.4,66,22,0,117.1,542.4,2784,1,0,0,1,0,65,117.0,138,2,65,1
Laurent_Koscielny_7,0,16,556,9,123.8,60,32,2,95.5,692.0,2225,0,0,0,0,0,60,137.0,100,4,55,0
Leroy_Sané_216,15,17,647,12,891.3,87,22,10,274.4,842.4,2415,0,0,0,0,0,85,1013.0,179,4,95,0
Lewis_Dunk_42,1,7,637,10,147.8,45,54,1,157.9,1002.8,3420,4,0,0,0,0,45,425.0,97,7,45,0
Lukasz_Fabianski_388,0,14,772,9,10.0,47,56,0,109.9,1087.8,3420,0,0,3,0,137,45,0.0,157,0,45,0
Luka_Milivojevic_134,2,21,630,8,379.0,52,52,10,168.6,873.8,3079,0,1,0,0,0,50,432.0,144,8,65,1
Luke_Shaw_226,0,4,216,7,127.0,48,2,0,41.5,142.6,787,0,0,0,0,0,50,144.0,48,2,50,1
Lys_Mousset_70,0,3,106,1,69.5,49,16,2,43.9,120.4,581,0,0,0,0,0,50,252.0,36,1,50,0
Mamadou_Sakho_125,2,18,405,6,30.7,46,23,1,53.6,426.2,1597,0,0,0,0,0,50,77.0,81,1,50,1
Manuel_Lanzini_391,7,11,470,6,624.9,66,44,5,168.8,559.4,2039,0,1,0,0,0,70,502.0,106,4,65,0
Marcos_Alonso_103,2,15,650,13,549.6,71,30,7,207.1,697.8,2855,0,0,0,0,0,70,822.0,165,6,65,0
Marcus_Rashford_233,5,11,387,10,412.1,73,16,7,171.7,470.8,1799,0,0,0,0,0,75,838.0,104,3,70,1
Marc_Albrighton_174,8,12,458,8,718.3,55,42,2,160.2,580.0,2533,0,0,0,1,0,55,300.0,107,5,55,0
Mario_Lemina_324,1,5,337,4,170.6,48,31,1,67.8,363.6,1715,0,0,0,0,0,50,145.0,58,2,50,0
Marko_Arnautovic_385,7,12,440,7,543.0,71,50,11,241.1,713.8,2309,0,0,0,1,0,70,1155.0,144,5,70,0
Mark_Noble_396,0,7,461,7,337.8,53,45,4,100.8,527.6,2400,0,0,0,0,0,55,141.0,84,6,50,1
Martin_Dubravka_262,0,5,215,4,0.0,45,11,0,23.3,234.6,1080,0,0,1,0,26,45,0.0,53,0,50,1
Martin_Kelly_128,0,1,185,4,25.7,41,21,0,33.3,222.6,1193,1,0,0,0,0,45,84.0,34,1,40,0
